,Step,Value
132,132,15375.896993938397
133,133,15633.327371933156
134,134,15893.09094870412
135,135,16155.191222342333
136,136,16419.631670116312
137,137,16686.415748748877
138,138,16955.546894688287
139,139,17227.028524373854
140,140,17500.8640344962
141,141,17777.056802252257
142,142,18055.610185595193
143,143,18336.527523479406
144,144,18619.812136100674
145,145,18905.467325131634
146,146,19193.496373952683
147,147,19483.902547878435
148,148,19776.689094379868
149,149,20071.85924330221
150,150,20369.41620707874
151,151,20669.36318094059
152,152,20971.703343122605
153,153,21276.439855065455
154,154,21583.575861613965
155,155,21893.114491211873
156,156,22205.058856093023
157,157,22519.41205246917
158,158,22836.17716071434
159,159,23155.357245545958
160,160,23476.955356202816
161,161,23800.974526619797
162,162,24127.417775599686
163,163,24456.288106981883
164,164,24787.588509808294
165,165,25121.321958486325
166,166,25457.491412949115
167,167,25796.099818813072
168,168,26137.150107532743
169,169,26480.64519655309
170,170,26826.58798945925
171,171,27174.9813761238
172,172,27525.828232851607
173,173,27879.131422522343
174,174,28234.89379473062
175,175,28593.118185923926
176,176,28953.807419538338
177,177,29316.964306132
178,178,29682.59164351658
179,179,30050.692216886586
180,180,30421.268798946672
181,181,30794.32415003697
182,182,31169.861018256448
183,183,31547.88213958438
184,184,31928.390237999978
185,185,32311.388025600125
186,186,32696.878202715416
187,187,33084.863458024345
188,188,33475.34646866587
189,189,33868.32990035024
190,190,34263.81640746818
191,191,34661.80863319847
192,192,35062.30920961395
193,193,35465.320757785994
194,194,35870.84588788738
195,195,36278.88719929375
196,196,36689.44728068363
197,197,37102.528710136874
198,198,37518.13405523192
199,199,37936.26587314146
200,200,38356.92671072689
201,201,38780.11910463136
202,202,39205.845581371614
203,203,39634.108657428435
204,204,40064.91083933595
205,205,40498.254623769586
206,206,40934.14249763298
207,207,41372.576938143546
208,208,41813.56041291698
209,209,42257.095380050574
210,210,42703.18428820545
211,211,43151.82957668766
212,212,43603.03367552825
213,213,44056.79900556217
214,214,44513.12797850629
215,215,44972.02299703624
216,216,45433.48645486238
217,217,45897.520736804676
218,218,46364.12821886665
219,219,46833.31126830841
220,220,47305.07224371868
221,221,47779.41349508597
222,222,48256.337363868784
223,223,48735.84618306502
224,224,49217.942277280374
225,225,49702.62796279603
226,226,50189.905547635404
227,227,50679.77733163008
228,228,51172.24560648496
229,229,51667.31265584259
230,230,52164.980755346674
231,231,52665.25217270489
232,232,53168.12916775083
233,233,53673.613992505285
234,234,54181.70889123678
235,235,54692.41610052132
236,236,55205.737849301455
237,237,55721.67635894469
238,238,56240.233843301176
239,239,56761.412508760644
240,240,57285.21455430877
241,241,57811.64217158287
242,242,58340.69754492686
243,243,58872.38285144572
244,244,59406.70026105918
245,245,59943.65193655489
246,246,60483.24003364094
247,247,61025.46670099779
248,248,61570.33408032961
249,249,62117.84430641504
250,250,62667.99950715738
251,251,63220.80180363417
252,252,63776.25331014634
253,253,64334.35613426667
254,254,64895.11237688776
255,255,65458.524132269515
